ntree,maxnodes,nodesize,mtry,accTa,accTe
10,100,2,1,0.73007,0.71923
20,100,2,1,0.73316,0.72604
30,100,2,1,0.73881,0.73181
40,100,2,1,0.73625,0.72892
50,100,2,1,0.73687,0.73098
60,100,2,1,0.73572,0.73304
70,100,2,1,0.73757,0.73408
80,100,2,1,0.73651,0.73449
90,100,2,1,0.73581,0.72892
100,100,2,1,0.7343,0.72954
110,100,2,1,0.73651,0.73078
120,100,2,1,0.73572,0.73098
130,100,2,1,0.73448,0.72954
140,100,2,1,0.73492,0.72995
150,100,2,1,0.73634,0.7314
160,100,2,1,0.73695,0.73078
170,100,2,1,0.73713,0.7316
180,100,2,1,0.73819,0.73284
190,100,2,1,0.73881,0.73428
200,100,2,1,0.73898,0.73428
210,100,2,1,0.7404,0.73511
220,100,2,1,0.73969,0.7349
230,100,2,1,0.73845,0.73325
240,100,2,1,0.73881,0.73284
250,100,2,1,0.74004,0.73366
260,100,2,1,0.73916,0.73366
270,100,2,1,0.7389,0.73304
280,100,2,1,0.73863,0.73325
290,100,2,1,0.7396,0.73449
300,100,2,1,0.73757,0.7316
10,200,2,1,0.77757,0.76355
20,200,2,1,0.77801,0.76479
30,200,2,1,0.77951,0.76582
40,200,2,1,0.78128,0.76726
50,200,2,1,0.78411,0.76768
60,200,2,1,0.7811,0.76706
70,200,2,1,0.78287,0.7683
80,200,2,1,0.7811,0.76788
90,200,2,1,0.78225,0.7683
100,200,2,1,0.78384,0.76974
110,200,2,1,0.78269,0.76933
120,200,2,1,0.7826,0.76871
130,200,2,1,0.78137,0.76933
140,200,2,1,0.7819,0.76747
150,200,2,1,0.7819,0.7685
160,200,2,1,0.78075,0.76623
170,200,2,1,0.78022,0.76685
180,200,2,1,0.77978,0.76623
190,200,2,1,0.7826,0.76706
200,200,2,1,0.78269,0.76891
210,200,2,1,0.7849,0.76912
220,200,2,1,0.78243,0.76953
230,200,2,1,0.78499,0.76994
240,200,2,1,0.78508,0.77056
250,200,2,1,0.78508,0.76871
260,200,2,1,0.78578,0.76974
270,200,2,1,0.78525,0.76912
280,200,2,1,0.78428,0.7683
290,200,2,1,0.78481,0.76953
300,200,2,1,0.78631,0.77118
10,300,2,1,0.80874,0.77881
20,300,2,1,0.81492,0.78685
30,300,2,1,0.81784,0.78705
40,300,2,1,0.82004,0.79035
50,300,2,1,0.81687,0.78932
60,300,2,1,0.81951,0.79138
70,300,2,1,0.8174,0.78953
80,300,2,1,0.81907,0.78994
90,300,2,1,0.81863,0.7918
100,300,2,1,0.81775,0.78953
110,300,2,1,0.81616,0.78953
120,300,2,1,0.81554,0.79015
130,300,2,1,0.81598,0.78973
140,300,2,1,0.81642,0.79076
150,300,2,1,0.81695,0.79221
160,300,2,1,0.81748,0.79283
170,300,2,1,0.81792,0.79241
180,300,2,1,0.81784,0.79262
190,300,2,1,0.81863,0.79365
200,300,2,1,0.81792,0.79406
210,300,2,1,0.81766,0.79365
220,300,2,1,0.81969,0.79448
230,300,2,1,0.81978,0.79489
240,300,2,1,0.81907,0.79448
250,300,2,1,0.8189,0.79365
260,300,2,1,0.81916,0.7953
270,300,2,1,0.82004,0.79509
280,300,2,1,0.81951,0.79386
290,300,2,1,0.82013,0.79489
300,300,2,1,0.82031,0.79448
10,400,2,1,0.83691,0.79942
20,400,2,1,0.84291,0.80437
30,400,2,1,0.84256,0.80746
40,400,2,1,0.84777,0.81427
50,400,2,1,0.84777,0.81282
60,400,2,1,0.84547,0.81303
70,400,2,1,0.84424,0.8122
80,400,2,1,0.84539,0.81406
90,400,2,1,0.84583,0.81344
100,400,2,1,0.84512,0.81344
110,400,2,1,0.84671,0.81612
120,400,2,1,0.84751,0.81406
130,400,2,1,0.84742,0.8153
140,400,2,1,0.84698,0.81406
150,400,2,1,0.84698,0.81571
160,400,2,1,0.84839,0.81777
170,400,2,1,0.84971,0.81839
180,400,2,1,0.84927,0.81798
190,400,2,1,0.84901,0.81818
200,400,2,1,0.84883,0.8188
210,400,2,1,0.84874,0.81777
220,400,2,1,0.8498,0.81818
230,400,2,1,0.8498,0.82004
240,400,2,1,0.85033,0.81859
250,400,2,1,0.84962,0.81921
260,400,2,1,0.84971,0.8188
270,400,2,1,0.84989,0.81942
280,400,2,1,0.84927,0.81901
290,400,2,1,0.84918,0.82004
300,400,2,1,0.84865,0.81901
10,500,2,1,0.8483,0.8122
20,500,2,1,0.86031,0.82787
30,500,2,1,0.86623,0.82952
40,500,2,1,0.8687,0.83096
50,500,2,1,0.86958,0.8355
60,500,2,1,0.87285,0.83694
70,500,2,1,0.86887,0.83447
80,500,2,1,0.86914,0.83529
90,500,2,1,0.87143,0.83653
100,500,2,1,0.87214,0.83756
110,500,2,1,0.87196,0.83715
120,500,2,1,0.87188,0.83756
130,500,2,1,0.87126,0.83756
140,500,2,1,0.87099,0.83838
150,500,2,1,0.87188,0.83715
160,500,2,1,0.87276,0.83941
170,500,2,1,0.87205,0.83653
180,500,2,1,0.87082,0.8357
190,500,2,1,0.86967,0.8355
200,500,2,1,0.87011,0.83529
210,500,2,1,0.87046,0.83591
220,500,2,1,0.87161,0.8357
230,500,2,1,0.86958,0.83426
240,500,2,1,0.86852,0.83344
250,500,2,1,0.86985,0.83447
260,500,2,1,0.87055,0.8355
270,500,2,1,0.87011,0.83509
280,500,2,1,0.8702,0.83426
290,500,2,1,0.86958,0.83426
300,500,2,1,0.8694,0.83405
10,600,2,1,0.8762,0.83488
20,600,2,1,0.88556,0.84189
30,600,2,1,0.88645,0.84313
40,600,2,1,0.88733,0.84416
50,600,2,1,0.88609,0.84622
60,600,2,1,0.88397,0.84168
70,600,2,1,0.88415,0.84477
80,600,2,1,0.88547,0.84745
90,600,2,1,0.88574,0.85013
100,600,2,1,0.88583,0.85034
110,600,2,1,0.88742,0.84869
120,600,2,1,0.88689,0.84807
130,600,2,1,0.88742,0.84972
140,600,2,1,0.88821,0.85055
150,600,2,1,0.88795,0.8489
160,600,2,1,0.88848,0.85034
170,600,2,1,0.88892,0.84993
180,600,2,1,0.88848,0.85075
190,600,2,1,0.88909,0.84993
200,600,2,1,0.88927,0.85158
210,600,2,1,0.89068,0.8524
220,600,2,1,0.89068,0.85281
230,600,2,1,0.89033,0.85261
240,600,2,1,0.89068,0.85261
250,600,2,1,0.89024,0.8522
260,600,2,1,0.8906,0.8522
270,600,2,1,0.89086,0.85199
280,600,2,1,0.89104,0.85096
290,600,2,1,0.89139,0.85116
300,600,2,1,0.8913,0.8524
10,700,2,1,0.90102,0.84498
